model,training_seed,noise_seed,gaussian_sigma,threshold,trainable_parameters,train_samples,validation_samples,test_samples,accuracy,precision,recall,f1,pr_auc,tp,fp,fn,tn,clean_f1,f1_drop,f1_retention
TinyMLP h5 (mu12),29,2003,0.08,0.47414915385743567,21,4500,1500,1500,0.28733333333333333,0.21623616236162363,0.9766666666666667,0.3540785498489426,0.17768339788117565,293,1062,7,138,0.8738461538461538,0.5197676039972112,0.40519552359474065
Schmidt-QPP QNN L2,29,3001,0.08,0.5482865324830994,25,4500,1500,1500,0.2866666666666667,0.2173274596182085,0.9866666666666667,0.3561973525872443,0.17105915754931728,296,1066,4,134,0.8738461538461538,0.5176488012589096,0.4076202098269521
TinyMLP h5 (lambda12),29,3001,0.08,0.5658007902903174,21,4500,1500,1500,0.914,0.7002341920374707,0.9966666666666667,0.8225584594222835,0.9697522565264978,299,128,1,1072,0.927536231884058,0.10497777246177453,0.8868208390646494
TinyMLP h5 (mu12),29,3001,0.08,0.47414915385743567,21,4500,1500,1500,0.2866666666666667,0.2173274596182085,0.9866666666666667,0.3561973525872443,0.17105915754931728,296,1066,4,134,0.8738461538461538,0.5176488012589096,0.4076202098269521
Schmidt-QPP QNN L2,29,1001,0.1,0.5482865324830994,25,4500,1500,1500,0.278,0.21568627450980393,0.99,0.3542039355992845,0.17169765726910852,297,1080,3,120,0.8738461538461538,0.5196422182468694,0.40533901080904033
TinyMLP h5 (lambda12),29,1001,0.1,0.5658007902903174,21,4500,1500,1500,0.6713333333333333,0.3780025284450063,0.9966666666666667,0.5481209899175069,0.9608121472990511,299,492,1,708,0.927536231884058,0.3794152419665511,0.5909429422548121
TinyMLP h5 (mu12),29,1001,0.1,0.47414915385743567,21,4500,1500,1500,0.278,0.21568627450980393,0.99,0.3542039355992845,0.17169765726910852,297,1080,3,120,0.8738461538461538,0.5196422182468694,0.40533901080904033
Schmidt-QPP QNN L2,29,2003,0.1,0.5482865324830994,25,4500,1500,1500,0.27066666666666667,0.21356421356421357,0.9866666666666667,0.35112692763938314,0.18749629834733392,296,1090,4,110,0.8738461538461538,0.5227192262067707,0.4018177869112659
TinyMLP h5 (lambda12),29,2003,0.1,0.5658007902903174,21,4500,1500,1500,0.662,0.37142857142857144,0.9966666666666667,0.5411764705882354,0.9631558610425738,299,506,1,694,0.927536231884058,0.3863597612958226,0.5834558823529412
TinyMLP h5 (mu12),29,2003,0.1,0.47414915385743567,21,4500,1500,1500,0.27066666666666667,0.21356421356421357,0.9866666666666667,0.35112692763938314,0.18749629834733392,296,1090,4,110,0.8738461538461538,0.5227192262067707,0.4018177869112659
Schmidt-QPP QNN L2,29,3001,0.1,0.5482865324830994,25,4500,1500,1500,0.2713333333333333,0.21330441070137382,0.9833333333333333,0.35056446821152704,0.18830413864603046,295,1088,5,112,0.8738461538461538,0.5232816856346267,0.40117412735474045
TinyMLP h5 (lambda12),29,3001,0.1,0.5658007902903174,21,4500,1500,1500,0.6913333333333334,0.392904073587385,0.9966666666666667,0.5636192271442035,0.955939499073872,299,462,1,738,0.927536231884058,0.36391700473985444,0.6076519792648444
TinyMLP h5 (mu12),29,3001,0.1,0.47414915385743567,21,4500,1500,1500,0.2713333333333333,0.21330441070137382,0.9833333333333333,0.35056446821152704,0.18830413864603046,295,1088,5,112,0.8738461538461538,0.5232816856346267,0.40117412735474045
Schmidt-QPP QNN L2,29,1001,0.15,0.5482865324830994,25,4500,1500,1500,0.23466666666666666,0.20677731673582295,0.9966666666666667,0.34249713631156925,0.17950073877748926,299,1147,1,53,0.8738461538461538,0.5313490175345845,0.39194214542697187
TinyMLP h5 (lambda12),29,1001,0.15,0.5658007902903174,21,4500,1500,1500,0.274,0.2159827213822894,1.0,0.3552397868561279,0.9189413679371572,300,1089,0,111,0.927536231884058,0.5722964450279301,0.3829928952042629
TinyMLP h5 (mu12),29,1001,0.15,0.47414915385743567,21,4500,1500,1500,0.23466666666666666,0.20677731673582295,0.9966666666666667,0.34249713631156925,0.17950073877748926,299,1147,1,53,0.8738461538461538,0.5313490175345845,0.39194214542697187
Schmidt-QPP QNN L2,29,2003,0.15,0.5482865324830994,25,4500,1500,1500,0.23733333333333334,0.2073509015256588,0.9966666666666667,0.3432835820895522,0.17507782120359253,299,1143,1,57,0.8738461538461538,0.5305625717566016,0.3928421273912129
TinyMLP h5 (lambda12),29,2003,0.15,0.5658007902903174,21,4500,1500,1500,0.284,0.2183406113537118,1.0,0.35842293906810035,0.9135105092511003,300,1074,0,126,0.927536231884058,0.5691132928159577,0.3864247311827957
TinyMLP h5 (mu12),29,2003,0.15,0.47414915385743567,21,4500,1500,1500,0.23733333333333334,0.2073509015256588,0.9966666666666667,0.3432835820895522,0.17507782120359255,299,1143,1,57,0.8738461538461538,0.5305625717566016,0.3928421273912129
Schmidt-QPP QNN L2,29,3001,0.15,0.5482865324830994,25,4500,1500,1500,0.22933333333333333,0.20482758620689656,0.99,0.33942857142857147,0.1815023495494406,297,1153,3,47,0.8738461538461538,0.5344175824175823,0.38843058350100607
TinyMLP h5 (lambda12),29,3001,0.15,0.5658007902903174,21,4500,1500,1500,0.2773333333333333,0.21676300578034682,1.0,0.3562945368171021,0.8751497081943376,300,1084,0,116,0.927536231884058,0.5712416950669559,0.3841300475059382
TinyMLP h5 (mu12),29,3001,0.15,0.47414915385743567,21,4500,1500,1500,0.22933333333333333,0.20482758620689656,0.99,0.33942857142857147,0.1815023495494406,297,1153,3,47,0.8738461538461538,0.5344175824175823,0.38843058350100607
Schmidt-QPP QNN L2,41,clean,0.0,0.5956951977795779,25,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.922911660233885,284,66,16,1134,0.8738461538461538,0.0,1.0
TinyMLP h5 (lambda12),41,clean,0.0,0.5495063074301623,21,4500,1500,1500,0.9706666666666667,0.8975155279503105,0.9633333333333334,0.9292604501607717,0.9681385227825768,289,33,11,1167,0.9292604501607717,0.0,1.0
TinyMLP h5 (mu12),41,clean,0.0,0.4897331273336216,21,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.922911660233885,284,66,16,1134,0.8738461538461538,0.0,1.0
Schmidt-QPP QNN L2,41,1001,0.01,0.5956951977795779,25,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.2049832283306268,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
TinyMLP h5 (lambda12),41,1001,0.01,0.5495063074301623,21,4500,1500,1500,0.9713333333333334,0.9003115264797508,0.9633333333333334,0.9307568438003221,0.9686746035503689,289,32,11,1168,0.9292604501607717,-0.0014963936395503419,1.001610305958132
TinyMLP h5 (mu12),41,1001,0.01,0.4897331273336216,21,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.20498322833062677,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
Schmidt-QPP QNN L2,41,2003,0.01,0.5956951977795779,25,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19715669536518998,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
TinyMLP h5 (lambda12),41,2003,0.01,0.5495063074301623,21,4500,1500,1500,0.9693333333333334,0.8919753086419753,0.9633333333333334,0.9262820512820512,0.9674033601742034,289,35,11,1165,0.9292604501607717,0.002978398878720534,0.9967948717948717
TinyMLP h5 (mu12),41,2003,0.01,0.4897331273336216,21,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19715669536518998,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
Schmidt-QPP QNN L2,41,3001,0.01,0.5956951977795779,25,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19880930003074057,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
TinyMLP h5 (lambda12),41,3001,0.01,0.5495063074301623,21,4500,1500,1500,0.9686666666666667,0.891640866873065,0.96,0.9245585874799357,0.9672871586955681,288,35,12,1165,0.9292604501607717,0.004701862680836055,0.994940210056263
TinyMLP h5 (mu12),41,3001,0.01,0.4897331273336216,21,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19880930003074057,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
Schmidt-QPP QNN L2,41,1001,0.02,0.5956951977795779,25,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.2038542185675792,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
TinyMLP h5 (lambda12),41,1001,0.02,0.5495063074301623,21,4500,1500,1500,0.968,0.8888888888888888,0.96,0.923076923076923,0.9668020612367485,288,36,12,1164,0.9292604501607717,0.006183527083848728,0.9933457545914293
TinyMLP h5 (mu12),41,1001,0.02,0.4897331273336216,21,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.20385421856757924,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
Schmidt-QPP QNN L2,41,2003,0.02,0.5956951977795779,25,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.20700723025802192,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
TinyMLP h5 (lambda12),41,2003,0.02,0.5495063074301623,21,4500,1500,1500,0.9686666666666667,0.891640866873065,0.96,0.9245585874799357,0.967128235750433,288,35,12,1165,0.9292604501607717,0.004701862680836055,0.994940210056263
TinyMLP h5 (mu12),41,2003,0.02,0.4897331273336216,21,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.20700723025802192,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
Schmidt-QPP QNN L2,41,3001,0.02,0.5956951977795779,25,4500,1500,1500,0.31333333333333335,0.21879815100154082,0.9466666666666667,0.35544430538172717,0.18385895237440084,284,1014,16,186,0.8738461538461538,0.5184018484644266,0.4067584480600751
TinyMLP h5 (lambda12),41,3001,0.02,0.5495063074301623,21,4500,1500,1500,0.9693333333333334,0.8919753086419753,0.9633333333333334,0.9262820512820512,0.9680519815951414,289,35,11,1165,0.9292604501607717,0.002978398878720534,0.9967948717948717
TinyMLP h5 (mu12),41,3001,0.02,0.4897331273336216,21,4500,1500,1500,0.31333333333333335,0.21879815100154082,0.9466666666666667,0.35544430538172717,0.18385895237440084,284,1014,16,186,0.8738461538461538,0.5184018484644266,0.4067584480600751
Schmidt-QPP QNN L2,41,1001,0.04,0.5956951977795779,25,4500,1500,1500,0.30466666666666664,0.21749049429657794,0.9533333333333334,0.3541795665634675,0.19847931364098736,286,1029,14,171,0.8738461538461538,0.5196665872826863,0.40531112370819344
TinyMLP h5 (lambda12),41,1001,0.04,0.5495063074301623,21,4500,1500,1500,0.9626666666666667,0.8588235294117647,0.9733333333333334,0.9125,0.9674599977716509,292,48,8,1152,0.9292604501607717,0.016760450160771767,0.9819636678200692
TinyMLP h5 (mu12),41,1001,0.04,0.4897331273336216,21,4500,1500,1500,0.30466666666666664,0.21749049429657794,0.9533333333333334,0.3541795665634675,0.19847931364098736,286,1029,14,171,0.8738461538461538,0.5196665872826863,0.40531112370819344
Schmidt-QPP QNN L2,41,2003,0.04,0.5956951977795779,25,4500,1500,1500,0.306,0.21825095057034222,0.9566666666666667,0.3554179566563468,0.18398448067464232,287,1028,13,172,0.8738461538461538,0.518428197189807,0.40672829546941097
TinyMLP h5 (lambda12),41,2003,0.04,0.5495063074301623,21,4500,1500,1500,0.9646666666666667,0.8664688427299704,0.9733333333333334,0.9167974882260598,0.967230537761074,292,45,8,1155,0.9292604501607717,0.012462961934711969,0.9865883004785626
TinyMLP h5 (mu12),41,2003,0.04,0.4897331273336216,21,4500,1500,1500,0.306,0.21825095057034222,0.9566666666666667,0.3554179566563468,0.18398448067464232,287,1028,13,172,0.8738461538461538,0.518428197189807,0.40672829546941097
Schmidt-QPP QNN L2,41,3001,0.04,0.5956951977795779,25,4500,1500,1500,0.30333333333333334,0.21673003802281368,0.95,0.35294117647058826,0.197758824551277,285,1030,15,170,0.8738461538461538,0.5209049773755656,0.403893951946976
TinyMLP h5 (lambda12),41,3001,0.04,0.5495063074301623,21,4500,1500,1500,0.9626666666666667,0.8609467455621301,0.97,0.9122257053291536,0.9667143106549373,291,47,9,1153,0.9292604501607717,0.017034744831618154,0.9816684925860442
TinyMLP h5 (mu12),41,3001,0.04,0.4897331273336216,21,4500,1500,1500,0.30333333333333334,0.21673003802281368,0.95,0.35294117647058826,0.197758824551277,285,1030,15,170,0.8738461538461538,0.5209049773755656,0.403893951946976
Schmidt-QPP QNN L2,41,1001,0.06,0.5956951977795779,25,4500,1500,1500,0.296,0.21748878923766815,0.97,0.35531135531135527,0.18285314509098613,291,1047,9,153,0.8738461538461538,0.5185347985347986,0.4066063044936284
TinyMLP h5 (lambda12),41,1001,0.06,0.5495063074301623,21,4500,1500,1500,0.9513333333333334,0.8126721763085399,0.9833333333333333,0.889894419306184,0.9635506988939071,295,68,5,1132,0.9292604501607717,0.039366030854587786,0.9576372470734367
TinyMLP h5 (mu12),41,1001,0.06,0.4897331273336216,21,4500,1500,1500,0.296,0.21748878923766815,0.97,0.35531135531135527,0.18285314509098613,291,1047,9,153,0.8738461538461538,0.5185347985347986,0.4066063044936284
Schmidt-QPP QNN L2,41,2003,0.06,0.5956951977795779,25,4500,1500,1500,0.2986666666666667,0.21940298507462686,0.98,0.35853658536585364,0.20438669455466515,294,1046,6,154,0.8738461538461538,0.5153095684803002,0.4102971487461353
TinyMLP h5 (lambda12),41,2003,0.06,0.5495063074301623,21,4500,1500,1500,0.9566666666666667,0.8328611898016998,0.98,0.9004594180704442,0.9688733814581806,294,59,6,1141,0.9292604501607717,0.028801032090327583,0.9690065017989901
TinyMLP h5 (mu12),41,2003,0.06,0.4897331273336216,21,4500,1500,1500,0.2986666666666667,0.21940298507462686,0.98,0.35853658536585364,0.20438669455466513,294,1046,6,154,0.8738461538461538,0.5153095684803002,0.4102971487461353
Schmidt-QPP QNN L2,41,3001,0.06,0.5956951977795779,25,4500,1500,1500,0.2986666666666667,0.21771771771771772,0.9666666666666667,0.3553921568627451,0.18003905263425546,290,1042,10,158,0.8738461538461538,0.5184539969834088,0.4066987710577189
TinyMLP h5 (lambda12),41,3001,0.06,0.5495063074301623,21,4500,1500,1500,0.9533333333333334,0.8194444444444444,0.9833333333333333,0.893939393939394,0.9685495641358804,295,65,5,1135,0.9292604501607717,0.03532105622137771,0.9619901436510434
TinyMLP h5 (mu12),41,3001,0.06,0.4897331273336216,21,4500,1500,1500,0.2986666666666667,0.21771771771771772,0.9666666666666667,0.3553921568627451,0.1800390526342555,290,1042,10,158,0.8738461538461538,0.5184539969834088,0.4066987710577189
Schmidt-QPP QNN L2,41,1001,0.08,0.5956951977795779,25,4500,1500,1500,0.292,0.21861152141802068,0.9866666666666667,0.3579201934703748,0.1868340548254896,296,1058,4,142,0.8738461538461538,0.5159259603757791,0.40959177069673175
TinyMLP h5 (lambda12),41,1001,0.08,0.5495063074301623,21,4500,1500,1500,0.9126666666666666,0.6978922716627635,0.9933333333333333,0.8198074277854195,0.9679907037332269,298,129,2,1071,0.9292604501607717,0.10945302237535226,0.8822149136375967
TinyMLP h5 (mu12),41,1001,0.08,0.4897331273336216,21,4500,1500,1500,0.292,0.21861152141802068,0.9866666666666667,0.3579201934703748,0.1868340548254896,296,1058,4,142,0.8738461538461538,0.5159259603757791,0.40959177069673175
Schmidt-QPP QNN L2,41,2003,0.08,0.5956951977795779,25,4500,1500,1500,0.28733333333333333,0.21623616236162363,0.9766666666666667,0.3540785498489426,0.17768339788117565,293,1062,7,138,0.8738461538461538,0.5197676039972112,0.40519552359474065
TinyMLP h5 (lambda12),41,2003,0.08,0.5495063074301623,21,4500,1500,1500,0.9006666666666666,0.668903803131991,0.9966666666666667,0.8005354752342705,0.9617971668912956,299,148,1,1052,0.9292604501607717,0.12872497492650126,0.8614758920341111
TinyMLP h5 (mu12),41,2003,0.08,0.4897331273336216,21,4500,1500,1500,0.28733333333333333,0.21623616236162363,0.9766666666666667,0.3540785498489426,0.17768339788117565,293,1062,7,138,0.8738461538461538,0.5197676039972112,0.40519552359474065
Schmidt-QPP QNN L2,41,3001,0.08,0.5956951977795779,25,4500,1500,1500,0.2866666666666667,0.2173274596182085,0.9866666666666667,0.3561973525872443,0.17105915754931728,296,1066,4,134,0.8738461538461538,0.5176488012589096,0.4076202098269521
TinyMLP h5 (lambda12),41,3001,0.08,0.5495063074301623,21,4500,1500,1500,0.9126666666666666,0.696969696969697,0.9966666666666667,0.8203017832647462,0.9681777083956106,299,130,1,1070,0.9292604501607717,0.10895866689602551,0.8827469017139656
TinyMLP h5 (mu12),41,3001,0.08,0.4897331273336216,21,4500,1500,1500,0.2866666666666667,0.2173274596182085,0.9866666666666667,0.3561973525872443,0.17105915754931728,296,1066,4,134,0.8738461538461538,0.5176488012589096,0.4076202098269521
Schmidt-QPP QNN L2,41,1001,0.1,0.5956951977795779,25,4500,1500,1500,0.278,0.21568627450980393,0.99,0.3542039355992845,0.17169765726910852,297,1080,3,120,0.8738461538461538,0.5196422182468694,0.40533901080904033
TinyMLP h5 (lambda12),41,1001,0.1,0.5495063074301623,21,4500,1500,1500,0.6433333333333333,0.3589435774309724,0.9966666666666667,0.5278022947925861,0.9634102634658989,299,534,1,666,0.9292604501607717,0.40145815536818563,0.5679810161954819
TinyMLP h5 (mu12),41,1001,0.1,0.4897331273336216,21,4500,1500,1500,0.278,0.21568627450980393,0.99,0.3542039355992845,0.17169765726910852,297,1080,3,120,0.8738461538461538,0.5196422182468694,0.40533901080904033
Schmidt-QPP QNN L2,41,2003,0.1,0.5956951977795779,25,4500,1500,1500,0.27066666666666667,0.21356421356421357,0.9866666666666667,0.35112692763938314,0.1874653266090451,296,1090,4,110,0.8738461538461538,0.5227192262067707,0.4018177869112659
TinyMLP h5 (lambda12),41,2003,0.1,0.5495063074301623,21,4500,1500,1500,0.6346666666666667,0.3534278959810875,0.9966666666666667,0.5218150087260036,0.9622141259289139,299,547,1,653,0.9292604501607717,0.40744544143476813,0.5615379505667374
TinyMLP h5 (mu12),41,2003,0.1,0.4897331273336216,21,4500,1500,1500,0.27066666666666667,0.21356421356421357,0.9866666666666667,0.35112692763938314,0.18749629834733392,296,1090,4,110,0.8738461538461538,0.5227192262067707,0.4018177869112659
Schmidt-QPP QNN L2,41,3001,0.1,0.5956951977795779,25,4500,1500,1500,0.2713333333333333,0.21330441070137382,0.9833333333333333,0.35056446821152704,0.18830413864603046,295,1088,5,112,0.8738461538461538,0.5232816856346267,0.40117412735474045
TinyMLP h5 (lambda12),41,3001,0.1,0.5495063074301623,21,4500,1500,1500,0.6606666666666666,0.3705080545229244,0.9966666666666667,0.5401987353206865,0.9589778860638077,299,508,1,692,0.9292604501607717,0.3890617148400852,0.5813211303970017
TinyMLP h5 (mu12),41,3001,0.1,0.4897331273336216,21,4500,1500,1500,0.2713333333333333,0.21330441070137382,0.9833333333333333,0.35056446821152704,0.18830413864603046,295,1088,5,112,0.8738461538461538,0.5232816856346267,0.40117412735474045
Schmidt-QPP QNN L2,41,1001,0.15,0.5956951977795779,25,4500,1500,1500,0.23466666666666666,0.20677731673582295,0.9966666666666667,0.34249713631156925,0.17950073877748926,299,1147,1,53,0.8738461538461538,0.5313490175345845,0.39194214542697187
TinyMLP h5 (lambda12),41,1001,0.15,0.5495063074301623,21,4500,1500,1500,0.2673333333333333,0.21443888491779842,1.0,0.35314891112419067,0.9058187876615281,300,1099,0,101,0.9292604501607717,0.5761115390365811,0.38003221923745084
TinyMLP h5 (mu12),41,1001,0.15,0.4897331273336216,21,4500,1500,1500,0.23466666666666666,0.20677731673582295,0.9966666666666667,0.34249713631156925,0.17950073877748926,299,1147,1,53,0.8738461538461538,0.5313490175345845,0.39194214542697187
Schmidt-QPP QNN L2,41,2003,0.15,0.5956951977795779,25,4500,1500,1500,0.23733333333333334,0.2073509015256588,0.9966666666666667,0.3432835820895522,0.17507782120359253,299,1143,1,57,0.8738461538461538,0.5305625717566016,0.3928421273912129
TinyMLP h5 (lambda12),41,2003,0.15,0.5495063074301623,21,4500,1500,1500,0.27466666666666667,0.21613832853025935,1.0,0.3554502369668246,0.9024884189079182,300,1088,0,112,0.9292604501607717,0.5738102131939471,0.38250873251447215
TinyMLP h5 (mu12),41,2003,0.15,0.4897331273336216,21,4500,1500,1500,0.23733333333333334,0.2073509015256588,0.9966666666666667,0.3432835820895522,0.17507782120359253,299,1143,1,57,0.8738461538461538,0.5305625717566016,0.3928421273912129
Schmidt-QPP QNN L2,41,3001,0.15,0.5956951977795779,25,4500,1500,1500,0.22933333333333333,0.20482758620689656,0.99,0.33942857142857147,0.1815023495494406,297,1153,3,47,0.8738461538461538,0.5344175824175823,0.38843058350100607
TinyMLP h5 (lambda12),41,3001,0.15,0.5495063074301623,21,4500,1500,1500,0.2673333333333333,0.21443888491779842,1.0,0.35314891112419067,0.8448300301094303,300,1099,0,101,0.9292604501607717,0.5761115390365811,0.38003221923745084
TinyMLP h5 (mu12),41,3001,0.15,0.4897331273336216,21,4500,1500,1500,0.22933333333333333,0.20482758620689656,0.99,0.33942857142857147,0.1815023495494406,297,1153,3,47,0.8738461538461538,0.5344175824175823,0.38843058350100607
Schmidt-QPP QNN L2,53,clean,0.0,0.49739777738176355,25,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.922911660233885,284,66,16,1134,0.8738461538461538,0.0,1.0
TinyMLP h5 (lambda12),53,clean,0.0,0.5731570837741349,21,4500,1500,1500,0.9693333333333334,0.8944099378881988,0.96,0.9260450160771705,0.9686686367629217,288,34,12,1166,0.9260450160771705,0.0,1.0
TinyMLP h5 (mu12),53,clean,0.0,0.45711167644633555,21,4500,1500,1500,0.9453333333333334,0.8114285714285714,0.9466666666666667,0.8738461538461538,0.9229130694983899,284,66,16,1134,0.8738461538461538,0.0,1.0
Schmidt-QPP QNN L2,53,1001,0.01,0.49739777738176355,25,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.20498322833062677,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
TinyMLP h5 (lambda12),53,1001,0.01,0.5731570837741349,21,4500,1500,1500,0.9706666666666667,0.8975155279503105,0.9633333333333334,0.9292604501607717,0.9693566739300522,289,33,11,1167,0.9260450160771705,-0.003215434083601254,1.003472222222222
TinyMLP h5 (mu12),53,1001,0.01,0.45711167644633555,21,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.20498322833062677,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
Schmidt-QPP QNN L2,53,2003,0.01,0.49739777738176355,25,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19715669536518998,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
TinyMLP h5 (lambda12),53,2003,0.01,0.5731570837741349,21,4500,1500,1500,0.9706666666666667,0.9,0.96,0.9290322580645162,0.9686067403289499,288,32,12,1168,0.9260450160771705,-0.002987241987345679,1.0032258064516129
TinyMLP h5 (mu12),53,2003,0.01,0.45711167644633555,21,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19715669536518998,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
Schmidt-QPP QNN L2,53,3001,0.01,0.49739777738176355,25,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19880930003074057,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
TinyMLP h5 (lambda12),53,3001,0.01,0.5731570837741349,21,4500,1500,1500,0.9686666666666667,0.891640866873065,0.96,0.9245585874799357,0.9683794746376677,288,35,12,1165,0.9260450160771705,0.0014864285972348013,0.9983948635634027
TinyMLP h5 (mu12),53,3001,0.01,0.45711167644633555,21,4500,1500,1500,0.32266666666666666,0.22118380062305296,0.9466666666666667,0.35858585858585856,0.19880930003074057,284,1000,16,200,0.8738461538461538,0.5152602952602953,0.41035353535353536
Schmidt-QPP QNN L2,53,1001,0.02,0.49739777738176355,25,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.2038542185675792,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
TinyMLP h5 (lambda12),53,1001,0.02,0.5731570837741349,21,4500,1500,1500,0.9686666666666667,0.891640866873065,0.96,0.9245585874799357,0.9684937414553086,288,35,12,1165,0.9260450160771705,0.0014864285972348013,0.9983948635634027
TinyMLP h5 (mu12),53,1001,0.02,0.45711167644633555,21,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.20385421856757924,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
Schmidt-QPP QNN L2,53,2003,0.02,0.49739777738176355,25,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.20700723025802192,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
TinyMLP h5 (lambda12),53,2003,0.02,0.5731570837741349,21,4500,1500,1500,0.9693333333333334,0.8944099378881988,0.96,0.9260450160771705,0.9682395844706715,288,34,12,1166,0.9260450160771705,0.0,1.0
TinyMLP h5 (mu12),53,2003,0.02,0.45711167644633555,21,4500,1500,1500,0.31266666666666665,0.21862971516551194,0.9466666666666667,0.35522201375859913,0.20700723025802192,284,1015,16,185,0.8738461538461538,0.5186241400875546,0.4065040650406504
Schmidt-QPP QNN L2,53,3001,0.02,0.49739777738176355,25,4500,1500,1500,0.31333333333333335,0.21879815100154082,0.9466666666666667,0.35544430538172717,0.18385895237440084,284,1014,16,186,0.8738461538461538,0.5184018484644266,0.4067584480600751
TinyMLP h5 (lambda12),53,3001,0.02,0.5731570837741349,21,4500,1500,1500,0.9693333333333334,0.8919753086419753,0.9633333333333334,0.9262820512820512,0.9693511960520437,289,35,11,1165,0.9260450160771705,-0.00023703520488072005,1.000255965099715
TinyMLP h5 (mu12),53,3001,0.02,0.45711167644633555,21,4500,1500,1500,0.31333333333333335,0.21879815100154082,0.9466666666666667,0.35544430538172717,0.1838610245546513,284,1014,16,186,0.8738461538461538,0.5184018484644266,0.4067584480600751
Schmidt-QPP QNN L2,53,1001,0.04,0.49739777738176355,25,4500,1500,1500,0.30466666666666664,0.21749049429657794,0.9533333333333334,0.3541795665634675,0.19847931364098736,286,1029,14,171,0.8738461538461538,0.5196665872826863,0.40531112370819344
TinyMLP h5 (lambda12),53,1001,0.04,0.5731570837741349,21,4500,1500,1500,0.9626666666666667,0.8609467455621301,0.97,0.9122257053291536,0.9704462115249624,291,47,9,1153,0.9260450160771705,0.0138193107480169,0.9850770637408568
TinyMLP h5 (mu12),53,1001,0.04,0.45711167644633555,21,4500,1500,1500,0.30466666666666664,0.21749049429657794,0.9533333333333334,0.3541795665634675,0.19847931364098736,286,1029,14,171,0.8738461538461538,0.5196665872826863,0.40531112370819344
Schmidt-QPP QNN L2,53,2003,0.04,0.49739777738176355,25,4500,1500,1500,0.306,0.21825095057034222,0.9566666666666667,0.3554179566563468,0.18398448067464232,287,1028,13,172,0.8738461538461538,0.518428197189807,0.40672829546941097
TinyMLP h5 (lambda12),53,2003,0.04,0.5731570837741349,21,4500,1500,1500,0.9666666666666667,0.8765060240963856,0.97,0.9208860759493671,0.9674093714634173,291,41,9,1159,0.9260450160771705,0.00515894012780338,0.9944290611814346
